0.404,0.066,2.272,0.038,1.363,1.301,4.707,5,3.926,3.512,3.566,4.127,5,5,0.412,0.051
0.412,0.051,2.232,0.037,1.361,1.302,4.719,5,3.87,3.47,3.53,4.096,5,5,0.412,0.051
0.412,0.051,2.191,0.036,1.3,1.252,4.675,5,3.816,3.428,3.494,4.062,5,5,0.397,0.054
0.397,0.054,2.15,0.035,1.286,4.308,4.685,5,3.763,3.387,3.459,4.03,5,5,0.397,0.054
0.397,0.054,2.111,0.034,1.302,4.309,4.696,4.801,3.71,3.347,3.424,3.999,5,5,0.403,0.044
0.403,0.044,2.071,0.033,1.3,4.31,4.662,4.739,3.659,3.306,3.388,3.965,5,5,0.403,0.044
0.403,0.044,2.031,0.032,1.247,4.262,4.66,4.604,3.608,3.266,3.352,3.93,5,5,0.406,0.047
0.406,0.047,1.991,0.031,1.246,4.262,4.658,4.607,3.583,3.246,3.334,3.913,5,5,0.406,0.047
0.406,0.047,1.951,0.031,1.244,4.265,4.655,4.503,3.506,3.185,3.28,3.861,5,5,0.39,0.044
0.39,0.044,1.91,0.03,1.242,4.266,4.654,4.428,3.456,3.145,3.244,3.826,5,5,0.39,0.044
0.39,0.044,1.871,0.029,1.241,4.268,4.652,4.355,3.407,3.106,3.209,3.792,5,5,0.374,0.041
0.374,0.041,1.833,0.028,1.188,4.22,4.651,4.285,3.36,3.067,3.174,3.758,5,5,0.374,0.041
0.374,0.041,1.795,0.027,1.342,4.22,4.651,4.251,3.337,3.049,3.157,3.741,5,5,0.359,0.044
0.359,0.044,1.758,0.027,1.546,4.223,4.65,4.151,3.269,2.994,3.107,3.692,5,5,0.359,0.044
0.359,0.044,1.722,0.026,1.647,4.225,4.65,4.085,3.224,2.958,3.075,3.661,5,5,0.344,0.041
0.344,0.041,1.686,0.025,1.852,4.226,4.65,4.052,3.202,2.94,3.058,3.645,5,5,0.344,0.041
0.344,0.041,1.652,0.024,2.157,4.229,4.651,3.96,3.139,2.888,3.011,3.599,5,5,0.33,0.038
0.33,0.038,1.618,0.023,4.26,4.181,4.652,3.9,3.098,2.855,2.981,3.568,5,5,0.33,0.038
